#,Company name,Symbol,Price (USD),Market cap (In millions),Sector,Industry,Market,Provided by GlobeFunder.com
938,Yum! Brands,YUM,$124.20,"$36,407.13",Consumer Services,Restaurants,NYSE,
939,Yum! China Holdings,YUMC,$51.12,"$21,885.85",Consumer Services,Restaurants,NYSE,
940,YY,YY,$54.45,"$4,244.81",Technology Services,Internet Software/Services,NASDAQ,
941,Zillow Group,Z,$55.62,"$14,034.03",Technology Services,Information Technology Services,NASDAQ,
942,Zimmer Biomet,ZBH,$125.62,"$26,243.02",Health Technology,Medical Specialties,NYSE,
943,Zebra Technologies,ZBRA,$590.72,"$31,568.96",Electronic Technology,Computer Peripherals,NASDAQ,
944,Zendesk,ZEN,$94.27,"$11,396.12",Technology Services,Data Processing Services,NYSE,
945,Zions Bancorporation,ZION,$64.17,"$10,040.26",Finance,Regional Banks,NASDAQ,
946,ZipRecruiter,ZIP,$29.63,"$3,459.96",Technology Services,Internet Software/Services,NYSE,
947,Zoom,ZM,$220.21,"$65,621.37",Technology Services,Packaged Software,NASDAQ,
948,Zynga,ZNGA,$6.44,"$7,213.97",Technology Services,Internet Software/Services,NASDAQ,
949,China Southern Airlines,ZNH,$29.13,"$15,143.69",Transportation,Airlines,NYSE,
950,Zscaler,ZS,$336.90,"$47,183.79",Technology Services,Packaged Software,NASDAQ,
951,ZTO Express,ZTO,$30.85,"$26,713.16",Transportation,Air Freight/Couriers,NYSE,
952,Zoetis,ZTS,$219.32,"$103,765.95",Health Technology,Pharmaceuticals: Generic,NYSE,
