#,Company name,Symbol,Price (USD),Market cap (In millions),Sector,Industry,Market,Provided by GlobeFunder.com
744,Republic Services,RSG,$135.02,"$42,814.14",Industrial Services,Environmental Services,NYSE,
745,Raytheon Technologies Corporation,RTX,$83.00,"$124,232.57",Electronic Technology,Aerospace & Defense,NYSE,
746,Sunrun,RUN,$47.41,"$9,814.10",Utilities,Alternative Power Generation,NASDAQ,
747,Rackspace Technology,RXT,$14.83,"$3,114.77",Technology Services,Data Processing Services,NASDAQ,
748,Royal Bank of Canada,RY,$101.52,"$186,260.04",Finance,Major Banks,NYSE,
749,Spirit Airlines,SAVE,$20.60,"$2,233.15",Transportation,Airlines,NYSE,
750,Sally Beauty,SBH,$20.21,"$2,284.66",Retail Trade,Specialty Stores,NYSE,
751,Companhia de Saneamento Basico,SBS,$6.12,"$23,341.86",Utilities,Water Utilities,NYSE,
752,Sibanye-Stillwater,SBSW,$11.94,"$8,146.18",Non-Energy Minerals,Precious Metals,NYSE,
753,Starbucks,SBUX,$110.66,"$129,826.21",Consumer Services,Restaurants,NASDAQ,
754,Southern Copper,SCCO,$57.71,"$44,614.52",Non-Energy Minerals,Other Metals/Minerals,NYSE,
755,Charles Schwab,SCHW,$79.15,"$149,640.99",Finance,Investment Banks/Brokers,NYSE,
756,Sea Limited,SE,$296.82,"$164,623.83",Technology Services,Internet Software/Services,NYSE,
757,Seaboard Corp.,SEB,"$3,901.64","$4,528.94",Consumer Non-Durables,Food: Meat/Fish/Dairy,NYSE AMERICAN,
758,SolarEdge Technologies,SEDG,$341.44,"$17,932.27",Producer Manufacturing,Electrical Products,NASDAQ,
759,Stitch Fix,SFIX,$27.93,"$3,038.47",Retail Trade,Apparel/Footwear Retail,NASDAQ,
760,Sprouts Farmers Market,SFM,$26.89,"$3,018.63",Retail Trade,Food Retail,NASDAQ,
761,Sangamo Therapeutics,SGMO,$8.45,"$1,230.95",Health Technology,Biotechnology,NASDAQ,
762,Shake Shack,SHAK,$75.89,"$3,192.06",Consumer Services,Restaurants,NYSE,
763,Shopify,SHOP,"$1,576.70","$249,819.82",Retail Trade,Internet Retail,NYSE,
764,Sherwin-Williams,SHW,$323.30,"$84,768.00",Process Industries,Industrial Specialties,NYSE,
765,Companhia Siderurgica Nacional,SID,$4.00,"$30,914.04",Non-Energy Minerals,Steel,NYSE,
766,Sirius XM,SIRI,$6.17,"$24,676.88",Consumer Services,Broadcasting,NASDAQ,
767,Skillsoft Corp,SKIL,$11.95,"$1,590.06",Technology Services,Packaged Software,NYSE,
768,Tanger Factory Outlet Centers,SKT,$20.49,"$2,130.64",Finance,Real Estate Investment Trusts,NYSE,
769,Skechers,SKX,$46.00,"$7,168.69",Consumer Non-Durables,Apparel/Footwear,NYSE,
770,Schlumberger,SLB,$29.70,"$41,658.17",Industrial Services,Oilfield Services/Equipment,NYSE,
771,US Silica Holdings,SLCA,$9.76,$727.82,Non-Energy Minerals,Other Metals/Minerals,NYSE,
772,SLM Corporation,SLM,$17.86,"$5,236.15",Finance,Finance/Rental/Leasing,NASDAQ,
773,SM Energy Company,SM,$28.67,"$3,482.65",Energy Minerals,Oil & Gas Production,NYSE,
774,Smartsheet,SMAR,$63.50,"$7,998.90",Technology Services,Packaged Software,NYSE,
775,Sumitomo Mitsui Financial Group,SMFG,$6.63,"$46,249.85",Finance,Major Banks,NYSE,
